; Candidate function boundaries for /home/andrew/netgearr8000/v2-staging/firmware/brcmfmac43602-pcie.ap.bin
; Detection: Thumb-2 'push {..,lr}' prologue -> nearest following
; 'pop {..,pc}' or 'bx lr' epilogue (approx=1 means no clean
; epilogue was found before the next prologue; end offset is the
; next prologue's start as a fallback boundary).
; Total candidates: 1879
; offset_start   offset_end  size_bytes  approx
0x00871e  0x008754        54  0
0x00875a  0x008786        44  0
0x008792  0x0087cc        58  0
0x0087d0  0x008820        80  0
0x00882c  0x008894       104  0
0x008898  0x008918       128  0
0x008928  0x008a34       268  0
0x008a9e  0x008ab2        20  0
0x008ac8  0x008b3c       116  0
0x008b4c  0x008ba4        88  0
0x008bc6  0x008be4        30  0
0x008ca4  0x008cb6        18  0
0x008ce4  0x008d10        44  0
0x008d20  0x008d6e        78  0
0x008d7c  0x008db8        60  0
0x008dc0  0x008e70       176  0
0x008ece  0x008f36       104  0
0x008f36  0x008f70        58  0
0x008fb8  0x009010        88  0
0x00901e  0x00905e        64  0
0x009062  0x009076        20  0
0x00910c  0x00914e        66  0
0x00915c  0x009174        24  0
0x0091f0  0x009222        50  0
0x00922c  0x009260        52  0
0x009342  0x0093b4       114  0
0x0093b4  0x009448       148  0
0x00944e  0x009506       184  0
0x009512  0x009590       126  0
0x0095ac  0x0096b4       264  0
0x009766  0x0097b8        82  0
0x0097b8  0x00981e       102  0
0x00983c  0x009850        20  0
0x00986c  0x0098ba        78  0
0x0098ba  0x00998c       210  0
0x00998c  0x0099a0        20  0
0x0099c0  0x009b60       416  0
0x009b64  0x009c8e       298  0
0x009c98  0x009e38       416  0
0x009e38  0x009e6c        52  0
0x009e70  0x009eaa        58  0
0x009eaa  0x009f0a        96  0
0x009f18  0x009fac       148  0
0x009fac  0x00a04e       162  0
0x00a04e  0x00a0a0        82  0
0x00a0a0  0x00a0e8        72  0
0x00a0f8  0x00a184       140  0
0x00a184  0x00a23e       186  0
0x00a248  0x00a27e        54  0
0x00a290  0x00a330       160  0
0x00a332  0x00a38e        92  0
0x00a398  0x00a442       170  0
0x00a442  0x00a552       272  0
0x00a552  0x00a5be       108  0
0x00a5be  0x00a62a       108  0
0x00a62a  0x00a696       108  0
0x00a698  0x00a6d0        56  0
0x00a6d0  0x00a728        88  0
0x00a72c  0x00a7b6       138  0
0x00a7b6  0x00a7c8        18  0
0x00a7c8  0x00a83e       118  0
0x00a83e  0x00a898        90  0
0x00a898  0x00a94e       182  0
0x00a94e  0x00a9b4       102  0
0x00a9b4  0x00a9d2        30  0
0x00a9d8  0x00aa62       138  0
